concept,term
Energy efficiency and renewable energy,EMS Certified Percent
Energy efficiency and renewable energy,Environmental Restoration Initiatives
Energy efficiency and renewable energy,Staff Transportation Impact Reduction
Energy efficiency and renewable energy,Accidental Spills
Energy efficiency and renewable energy,Climate Change Commercial Risks Opportunities
Energy efficiency and renewable energy,Environmental Expenditures
Energy efficiency and renewable energy,Eco-Design Products
Energy efficiency and renewable energy,Environmental Products
Energy efficiency and renewable energy,Environmental R&D Expenditures
Energy efficiency and renewable energy,Noise Reduction
Energy efficiency and renewable energy,Fleet Fuel Consumption
Energy efficiency and renewable energy,Equator Principles
Energy efficiency and renewable energy,Environmental Project Financing
Energy efficiency and renewable energy,Nuclear
Energy efficiency and renewable energy,Nuclear Production
Energy efficiency and renewable energy,Labeled Wood Percentage
Energy efficiency and renewable energy,Labeled Wood
Energy efficiency and renewable energy,Organic Products Initiatives
Energy efficiency and renewable energy,Take-back and Recycling Initiatives
Energy efficiency and renewable energy,Product Environmental Responsible Use
Energy efficiency and renewable energy,GMO Products
Energy efficiency and renewable energy,Agrochemical Products
Energy efficiency and renewable energy,Agrochemical 5 % Revenue
Energy efficiency and renewable energy,Animal Testing
Energy efficiency and renewable energy,Animal Testing Cosmetics
Energy efficiency and renewable energy,Animal Testing Reduction
Energy efficiency and renewable energy,Sustainable Building Products
Energy efficiency and renewable energy,Real Estate Sustainability Certifications
Energy efficiency and renewable energy,Env R&D Expenditures To Revenues in million
Energy efficiency and renewable energy,Equator Principles or Env Project Financing
Energy efficiency and renewable energy,Product Impact Minimization
Energy efficiency and renewable energy,Environment Management Team
Energy efficiency and renewable energy,Environment Management Training
Energy efficiency and renewable energy,Total Renewable Energy
Energy efficiency and renewable energy,Policy Energy Efficiency
Energy efficiency and renewable energy,Policy Sustainable Packaging
Energy efficiency and renewable energy,Policy Environmental Supply Chain
Energy efficiency and renewable energy,Grid Loss Percentage
Energy efficiency and renewable energy,Targets Energy Efficiency
Energy efficiency and renewable energy,Environmental Materials Sourcing
Energy efficiency and renewable energy,Toxic Chemicals Reduction
Energy efficiency and renewable energy,Energy Use Total
Energy efficiency and renewable energy,Energy Purchased Direct
Energy efficiency and renewable energy,Energy Produced Direct
Energy efficiency and renewable energy,Indirect Energy Use
Energy efficiency and renewable energy,Electricity Purchased
Energy efficiency and renewable energy,Renewable Energy Purchased
Energy efficiency and renewable energy,Renewable Energy Produced
Energy efficiency and renewable energy,Environmental Supply Chain Management
Energy efficiency and renewable energy,Env Supply Chain Partnership Termination
Energy efficiency and renewable energy,Land Environmental Impact Reduction
Energy efficiency and renewable energy,Environmental Supply Chain Monitoring
Energy efficiency and renewable energy,Renewable Energy Supply
Energy efficiency and renewable energy,Resource Reduction Policy
Energy efficiency and renewable energy,Resource Reduction Targets
Energy efficiency and renewable energy,Total Energy Use To Revenues USD in million
Energy efficiency and renewable energy,Renewable Energy Use Ratio
Energy efficiency and renewable energy,Environmental Controversies
Waste management,Environmental Provisions
Waste management,Total Waste To Revenues USD in million
Waste management,Waste Recycled To Total Waste
Waste management,Total Hazardous Waste To Revenues USD in million
Waste management,Waste Total
Waste management,Hazardous Waste
Waste management,Waste Reduction Initiatives
Waste management,e-Waste Reduction
Waste management,Products Recovered to Recycle
Waste management,Waste Flows
Waste management,Waste Generation
Waste management,Waste Volume
Waste management,Waste Reduction Measures
Waste management,Waste prevention and recycling
Waste management,waste collection
Waste management,off-site waste incineration
Water & waste-water management,Environmental Investments Initiatives
Water & waste-water management,Water Discharged
Water & waste-water management,Water Use To Revenues USD in million
Water & waste-water management,Water Withdrawal Total
Water & waste-water management,Fresh Water Withdrawal Total
Water & waste-water management,Water Recycled
Water & waste-water management,Targets Water Efficiency
Water & waste-water management,Water Technologies
Water & waste-water management,Wastewater Treatment
Water & waste-water management,Water Security
Water & waste-water management,Water Risk Assessment
Water & waste-water management,Water Access
Water & waste-water management,Water-stressed Regions
Water & waste-water management,Water Conservation
Water & waste-water management,water consumption intensity
Water & waste-water management,Water availability
Water & waste-water management,rates of water reuse/recycling
Water & waste-water management,water supply
Water & waste-water management,water management strategy
Water & waste-water management,water storage
Water & waste-water management,water optimization solutions
Biodiversity,"CO2 Equivalent Emissions Indirect, Scope 3"
Biodiversity,Biodiversity Impact Reduction
Biodiversity,areas of high biodiversity value
Biodiversity,biodiversity crisis
Biodiversity,biodiversity efforts
Biodiversity,biodiversity impact
Biodiversity,biodiversity impacts
Biodiversity,biodiversity issues
Biodiversity,Biodiversity loss
Biodiversity,biodiversity management programme
Biodiversity,biodiversity observation
Biodiversity,Biodiversity Pledge
Biodiversity,Biodiversity protection
Biodiversity,conservation of biodiversity
Biodiversity,deforestation
Biodiversity,impact on biodiversity
Biodiversity,loss of biodiversity
Biodiversity,palm oil
Biodiversity,palm oil plantation expansion
Biodiversity,protect biodiversity
Biodiversity,Protecting biodiversity
Biodiversity,Protecting vulnerable species and the variety of life in natural ecosystems
Biodiversity,protection of ecosystems
Biodiversity,Protection of natural environments
Biodiversity,reforesting
Biodiversity,restoring biodiversity
Biodiversity,The Economics of Ecosystems and Biodiversity (TEEB) initiative
Biodiversity,vertebrate populations
Biodiversity,zero deforestation
Sustainable Transport,bicycle
Sustainable Transport,CO2 emissions
Sustainable Transport,CO2 Emissions from the Transport of Chemicals in Europe
Sustainable Transport,DOWNSTREAM TRANPORT
Sustainable Transport,efficient transportation models
Sustainable Transport,environmental NGO Transport
Sustainable Transport,environmental NGO Transport & Environment
Sustainable Transport,Gaztransport
Sustainable Transport,Green Transportation
Sustainable Transport,Green Transportation Strategy
Sustainable Transport,means of transportation
Sustainable Transport,mobility services
Sustainable Transport,mobility solutions
Sustainable Transport,mode of transport
Sustainable Transport,new sustainable transport strategy
Sustainable Transport,public transportation
Sustainable Transport,railway transportation
Sustainable Transport,SASB Transportation standard
Sustainable Transport,standard of transportation safety and security
Sustainable Transport,Sustainable mobility
Sustainable Transport,sustainable transport
Sustainable Transport,sustainable transport policy
Sustainable Transport,technologies for transport
Sustainable Transport,transport
Sustainable Transport,transport distance and by the respective CO2 emissions factor
Sustainable Transport,transport efficiency
Sustainable Transport,Transport fuels
Sustainable Transport,transport solutions
Sustainable Transport,transport-related GHG emissions
Sustainable Transport,TRANSPORTATION
Sustainable Transport,transportation industry
Sustainable Transport,transportation packaging
Sustainable Transport,transportation safety
Sustainable Transport,Transportation Safety and Sustainability
Sustainable Transport,Transportation sector
Sustainable Transport,transportation services
Sustainable Transport,Transportation Statistics
Sustainable Transport,Transportation Stewardship
Sustainable Transport,Transportation Stewardship Culture
Sustainable Transport,Transportation Stewardship Program
Sustainable Transport,UPSTREAM TRANSPORT
Sustainable Transport,urban transport policies
Sustainable Transport,vehicle consumption
Sustainable Transport,VEHICLE MAINTENANCE
Sustainable Transport,vehicles
Sustainable Transport,WORK-RELATED TRAVELS
Sustainable Food & Agriculture,AGRICULTURE AND FOOD
Sustainable Food & Agriculture,agricultural and food sectors
Sustainable Food & Agriculture,AGRICULTURE AND FOOD SERVICES
Sustainable Food & Agriculture,cocoa
Sustainable Food & Agriculture,crop
Sustainable Food & Agriculture,crop yields
Sustainable Food & Agriculture,crops
Sustainable Food & Agriculture,decrease in crop diversity
Sustainable Food & Agriculture,ecosystem collapse
Sustainable Food & Agriculture,ethically produced food
Sustainable Food & Agriculture,farmer
Sustainable Food & Agriculture,farmers
Sustainable Food & Agriculture,fertility management solutions
Sustainable Food & Agriculture,fertilizer
Sustainable Food & Agriculture,Food Bank
Sustainable Food & Agriculture,food delivery
Sustainable Food & Agriculture,food donations
Sustainable Food & Agriculture,food habits
Sustainable Food & Agriculture,food industry
Sustainable Food & Agriculture,food parcel campaign
Sustainable Food & Agriculture,food product research and development
Sustainable Food & Agriculture,food sector
Sustainable Food & Agriculture,food security
Sustainable Food & Agriculture,food service
Sustainable Food & Agriculture,food spoilage
Sustainable Food & Agriculture,food supply
Sustainable Food & Agriculture,food system
Sustainable Food & Agriculture,food testing
Sustainable Food & Agriculture,food waste
Sustainable Food & Agriculture,fresh foods
Sustainable Food & Agriculture,fruit
Sustainable Food & Agriculture,grab-and-go food
Sustainable Food & Agriculture,green agricultural production
Sustainable Food & Agriculture,healthier food options
Sustainable Food & Agriculture,healthy beverages
Sustainable Food & Agriculture,healthy food options
Sustainable Food & Agriculture,healthy foods
Sustainable Food & Agriculture,high-quality crops
Sustainable Food & Agriculture,loss of food production
Sustainable Food & Agriculture,pasture-raised food products
Sustainable Food & Agriculture,safe food
Sustainable Food & Agriculture,seed
Sustainable Food & Agriculture,society agriculture
Sustainable Food & Agriculture,soil
Sustainable Food & Agriculture,soil and water analysis
Sustainable Food & Agriculture,soil depletion
Sustainable Food & Agriculture,soy
Sustainable Food & Agriculture,Sustainable Agriculture
Sustainable Food & Agriculture,sustainable and accessible food
Sustainable Food & Agriculture,SUSTAINABLE FOOD & AGRICULTURE
Sustainable Food & Agriculture,Sustainable Food and Agriculture
Sustainable Food & Agriculture,sustainable proteins
Sustainable Food & Agriculture,Tyson Foods
Sustainable Food & Agriculture,Vital Farms
circular economy,“repair and return” service
circular economy,Advancing a Circular Economy
circular economy,chemical recycling method for plastic waste
circular economy,chemical recycling of plastic waste
circular economy,circular business activities
circular economy,circular economy
circular economy,circular economy aftermarkets
circular economy,circular economy ambitions
circular economy,circular economy and design
circular economy,circular economy circuits
circular economy,Circular Economy Equities
circular economy,circular economy goals
circular economy,circular economy initiatives
circular economy,Circular Economy Investor Award
circular economy,circular economy systems
circular economy,circular experts
circular economy,circular loans
circular economy,circular principles
circular economy,processing end-of-life products
circular economy,product’s lifecycle
circular economy,re-used parts
circular economy,recoverable
circular economy,recyclability
circular economy,recyclable
circular economy,Recycle
circular economy,recycle materials
circular economy,recycled
circular economy,recycling
circular economy,recycling process
circular economy,reduce
circular economy,reduce-reuse-recycle waste management hierarchy
circular economy,remanufactured
circular economy,Remanufactured parts
circular economy,replacement materials
circular economy,reusable
circular economy,reuse
circular economy,reused
circular economy,reused parts
circular economy,scaling recycling infrastructure
circular economy,Sustainability Goals
circular economy,sustainable business models
circular economy,Sustainable Finance Desk
circular economy,Sustainable Investment Tool
circular economy,SUSTAINABLE MANAGEMENT OF MATERIALS
circular economy,sustainable manufacturing technologies
circular economy,Transition to a circular economy
circular economy,waste recovery
Employee development,Annual training budget per employee
Employee development,Employee Training/Learning Data
Employee development,"Hours of training
to develop digital skills"
Employee development,average number of hours of training
Employee development,TRAINING BY TYPE
Employee development,Policy Skills Training
Employee development,Policy Career Development
Employee development,Average Training Hours
Employee development,Training Hours Total
Employee development,Management Training
Employee development,Salaries and Wages from CSR reporting
Employee development,Number of Employees from CSR reporting
Employee development,Trade Union Representation
Employee development,Announced Layoffs
Employee development,Management Departures
Employee development,Strikes
Employee development,Training Costs Total
Employee development,Announced Layoffs To Total Employees
Employee development,Wages Working Condition Controversies
Employee development,Training and Development Policy
Employee development,Employee Resource Groups
Employee development,BBBEE Level
Recruiting and retaining employees (incl. work-life balance),Employee Satisfaction
Recruiting and retaining employees (incl. work-life balance),Turnover of Employees
Recruiting and retaining employees (incl. work-life balance),Involuntary Turnover of Employees
Recruiting and retaining employees (incl. work-life balance),HSMS Certified Percentage
Recruiting and retaining employees (incl. work-life balance),Candidate Experience
Recruiting and retaining employees (incl. work-life balance),Stress Management
Recruiting and retaining employees (incl. work-life balance),Discriminatory Recruitment or Promotion Processes
Recruiting and retaining employees (incl. work-life balance),recruitment rate
Recruiting and retaining employees (incl. work-life balance),recruitment fees
Recruiting and retaining employees (incl. work-life balance),gender diversity
Recruiting and retaining employees (incl. work-life balance),recruitment method
Future of work,career advancement
Future of work,career coaching
Future of work,Career development
Future of work,career development opportunities
Future of work,career development planning opportunities
Future of work,career formation
Future of work,career progression movement
Future of work,career progression opportunities
Future of work,career opportunities
Future of work,Career support program
Future of work,careers advice
Future of work,develop their careers
Future of work,employee career development discussions
Future of work,Employee development
Future of work,leadership and development programs
Future of work,opportunities for career development
Future of work,professional development
Future of work,upward promotion
Employee engagement,annual Employee Engagement Survey
Employee engagement,annual online survey
Employee engagement,anonymous employee engagement survey
Employee engagement,dedication to top performance
Employee engagement,EES
Employee engagement,employee engagement and motivation
Employee engagement,employee engagement community volunteering program
Employee engagement,employee engagement level
Employee engagement,employee engagement program
Employee engagement,employee engagement programs
Employee engagement,Employee engagement survey
Employee engagement,employee engagement targets
Employee engagement,employee events
Employee engagement,employee feedback
Employee engagement,employee motivation and retention
Employee engagement,employee suggestion scheme
Employee engagement,engagement of our employees
Employee engagement,engagement survey
Employee engagement,Global employee engagement program
Employee engagement,global employee surveys
Employee engagement,Helping hands employee engagement volunteering program
Employee engagement,voluntary annual employee engagement survey
Employee engagement,volunteering
Injury frequency rate,hours worked
Injury frequency rate,worktime
Injury frequency rate for subcontracted labour,injury rates
Injury frequency rate for subcontracted labour,incidents
Injury frequency rate for subcontracted labour,injuries at work
Injury frequency rate for subcontracted labour,injuries in transit
Injury frequency rate for subcontracted labour,occupational illnesses
Injury frequency rate for subcontracted labour,Flexible Working Hours
Injury frequency rate for subcontracted labour,Day Care Services
Injury frequency rate for subcontracted labour,Wages Working Condition Controversies Count
Injury frequency rate for subcontracted labour,Recent Wages Working Condition Controversies
Injury frequency rate for subcontracted labour,Health & Safety Training
Injury frequency rate for subcontracted labour,Supply Chain Health & Safety Training
Injury frequency rate for subcontracted labour,Employee Health & Safety Training Hours
Injury frequency rate for subcontracted labour,Policy Employee Health & Safety
Injury frequency rate for subcontracted labour,Policy Supply Chain Health & Safety
Injury frequency rate for subcontracted labour,Employees Health & Safety OHSAS 18001
Injury frequency rate for subcontracted labour,Supply Chain Health & Safety Improvements
Injury frequency rate for subcontracted labour,Total Injury Rate Total
Injury frequency rate for subcontracted labour,Total Injury Rate Contractors
Injury frequency rate for subcontracted labour,Total Injury Rate Employees
Injury frequency rate for subcontracted labour,Contractor Accidents
Injury frequency rate for subcontracted labour,Employee Accidents
Injury frequency rate for subcontracted labour,Occupational Diseases
Injury frequency rate for subcontracted labour,Employee Fatalities
Injury frequency rate for subcontracted labour,Contractor Fatalities
Injury frequency rate for subcontracted labour,Lost Time Injury Rate Total
Injury frequency rate for subcontracted labour,Lost Time Injury Rate Contractors
Injury frequency rate for subcontracted labour,Lost Time Injury Rate Employees
Injury frequency rate for subcontracted labour,Lost Working Days
Injury frequency rate for subcontracted labour,Employee Lost Working Days
Injury frequency rate for subcontracted labour,Contractor Lost working Days
Injury frequency rate for subcontracted labour,Employees Health & Safety Controversies
Injury frequency rate for subcontracted labour,Recent Employee Health & Safety Controversies
Injury frequency rate for subcontracted labour,Health & Safety Policy
Injury frequency rate for subcontracted labour,Injuries To Million Hours
Injury frequency rate for subcontracted labour,Lost Days To Total Days
Community,Policy Fair Competition
Community,Policy Bribery and Corruption
Community,Policy Business Ethics
Community,Policy Community Involvement
Community,OECD Guidelines for Multinational Enterprises
Community,Extractive Industries Transparency Initiative
Community,Donations Total
Community,Community Lending and Investments
Community,Political Contributions
Community,Employee Engagement Voluntary Work
Community,Product Sales at Discount to Emerging Markets
Community,Diseases of the Developing World
Community,Intellectual Property Controversies
Community,Crisis Management Systems
Community,Public Health Controversies
Community,Business Ethics Controversies
Community,Tax Fraud Controversies
Community,Critical Country 2
Community,Critical Country 3
Community,Critical Country 4
Community,Critical Country 5
Community,Recent Public Health Controversies
Community,Recent Business Ethics Controversies
Community,Recent Tax Fraud Controversies
Community,Recent Anti-Competition Controversy
Community,Recent Intellectual Property Controversies
Community,Corporate Responsibility Awards
Human Rights,Human Rights Policy
Human Rights,Policy Freedom of Association
Human Rights,Policy Human Rights
Human Rights,Fundamental Human Rights ILO UN
Human Rights,Human Rights Contractor
Human Rights,Human Rights Breaches Contractor
Human Rights,Human Rights Controversies
Human Rights,Child Labor Controversies
Human Rights,Recent Human Rights Controversies
Human Rights,Recent Child Labor Controversies
Product Responsibility,Consumer Complaints Controversies
Product Responsibility,Quality Mgt Systems
Product Responsibility,Responsible Marketing Controversies
Product Responsibility,Product Quality Controversies
Product Responsibility,Recent Consumer Controversies
Product Responsibility,Policy Customer Health & Safety
Product Responsibility,Policy Data Privacy
Product Responsibility,Policy Responsible Marketing
Product Responsibility,Policy Fair Trade
Product Responsibility,Product Responsibility Monitoring
Product Responsibility,ISO 9000
Product Responsibility,Six Sigma and Quality Mgt Systems
Product Responsibility,Product Access Low Price
Product Responsibility,Healthy Food or Products
Product Responsibility,Embryonic Stem Cell Research
Product Responsibility,Retailing Responsibility
Product Responsibility,Alcohol
Product Responsibility,Alcohol Revenues
Product Responsibility,Gambling
Product Responsibility,Gambling Revenues
Product Responsibility,Tobacco
Product Responsibility,Armaments Revenues
Product Responsibility,Contraceptives
Product Responsibility,Obesity Risk
Product Responsibility,Controversies Customer Health & Safety
Product Responsibility,Controversies Responsible R&D
Product Responsibility,Controversies Product Access
Product Responsibility,FDA Warning Letters
Product Responsibility,Product Delays
Product Responsibility,Nuclear 5% Revenues
Product Responsibility,Gambling 5% Revenues
Product Responsibility,Tobacco 5% Revenues
Product Responsibility,Alcohol 5% Revenues
Product Responsibility,Cluster Bombs
Product Responsibility,Anti-Personnel Landmines
Product Responsibility,Recent Customer Health & Safety Controversies
Product Responsibility,Recent Privacy Controversies
Product Responsibility,Recent Responsible Marketing Controversies
Product Responsibility,Recent Product Access Controversies
Product Responsibility,Recent Responsible R&D Controversies
Product Responsibility,Recent FDA Warning Letters
Product Responsibility,QMS Certified Percent
Product Responsibility,Abortifacients
Product Responsibility,Firearms
Product Responsibility,Revenues from Healthy Food or Products
Product Responsibility,Pork Products
Product Responsibility,Revenues from Pork Products
Product Responsibility,Alcohol Retailing
Product Responsibility,Tobacco Retailing
Product Responsibility,Policy Cyber Security
Product Responsibility,Animal Well-being
Board Independence,Number of Directors on the Board 
Board Independence,Number of independent Directors on the Board
Board Make-Up,DIRECTORS DIVIDED BY EXPERTISE
Board Make-Up,"Percentage of governance body members signing
the Code of Integrity"
Board Make-Up,Strategy Committee
Board Make-Up,Personnel Committee
Board Make-Up,Number of regular and special meetings held by the Board of Directors 
Board Make-Up,Independent Nominating & Corporate Governance Committee
Board Make-Up,Composition of the highest governance body and its committees
Board Make-Up,Diversity of governance bodies and employees
Board Make-Up,"Board Cultural Diversity, Percent"
Board Make-Up,"Board Gender Diversity, Percent"
Board Make-Up,Board Functions Policy
Board Make-Up,Corporate Governance Board Committee
Board Make-Up,Board Meeting Attendance Average
Board Make-Up,Committee Meetings Attendance Average
Board Make-Up,External Consultants
Board Make-Up,Board Attendance
Board Make-Up,Board Background and Skills
Board Make-Up,"Board Specific Skills, Percent"
Board Make-Up,Average Board Tenure
Board Make-Up,Non-Executive Board Members
Board Make-Up,Policy Board Size
Board Make-Up,Policy Board Independence
Board Make-Up,Policy Board Diversity
Board Make-Up,Policy Board Experience
Board Make-Up,Nomination Board Committee
Board Make-Up,Board Structure Type
Board Make-Up,Chairman is ex-CEO
Board Make-Up,Board Size
Board Make-Up,CEO Board Member
Board Make-Up,Board Member Membership Limits
Board Make-Up,CEO Chairman Duality
Board Make-Up,Board Member Affiliations
Board Make-Up,Board Individual Re-election
Board Make-Up,Nomination Committee NonExecutive Members
Board Make-Up,Nomination Committee Independence
Board Make-Up,Nomination Committee Mgt Independence
Board Make-Up,Nomination Committee Involvement
Audit Oversight,Independent audit
Audit Oversight,"corporate audit
external auditors"
Audit Oversight,Audit Committee Independence
Audit Oversight,Audit Committee Mgt Independence
Audit Oversight,Audit Committee Expertise
Audit Oversight,Audit Committee NonExecutive Members
Audit Oversight,Audit Board Committee
Shareholder rights,Shareholders’ meeting
Shareholder rights,Policy Shareholder Engagement
Shareholder rights,Different Voting Right Share
Shareholder rights,Voting Cap
Shareholder rights,Voting Cap Percentage
Shareholder rights,Shareholders Vote on Executive Pay
Shareholder rights,Public Availability Corporate Statutes
Shareholder rights,Veto Power or Golden share
Shareholder rights,State Owned Enterprise SOE
Shareholder rights,Poison Pill
Shareholder rights,Unlimited Authorized Capital or Blank Check
Shareholder rights,Classified Board Structure
Shareholder rights,Staggered Board Structure
Shareholder rights,Supermajority Vote Requirement
Shareholder rights,Golden Parachute
Shareholder rights,Limited Shareholder Rights to Call Meetings
Shareholder rights,Elimination of Cumulative Voting Rights
Shareholder rights,Pre-emptive Rights
Shareholder rights,Company Cross Shareholding
Shareholder rights,Confidential Voting Policy
Shareholder rights,Limitation of Director Liability
Shareholder rights,Shareholder Rights Controversies Count
Shareholder rights,Recent Shareholder Rights Controversies
Shareholder rights,Advance Notice for Shareholder Proposals
Shareholder rights,Advance Notice Period Days
Shareholder rights,Written Consent Requirements
Shareholder rights,Expanded Constituency Provision
Shareholder rights,Poison Pill Adoption Date
Shareholder rights,Poison Pill Expiration Date
Shareholder rights,Earnings Restatement
Shareholder rights,Accounting Controversies Count
Shareholder rights,Litigation Expenses
Shareholder rights,Recent Insider Dealings Controversies
Shareholder rights,Recent Accounting Controversies Count
Shareholder rights,Shareholder Rights Policy
Shareholder rights,Equal Shareholder Rights
Shareholder rights,Non-audit to Audit Fees Ratio
Shareholder rights,Accounting Controversies
Executive compensation,Independent Compensation & Benefits Committee 
Executive compensation,Compensation Report 
Executive compensation,Performance bonus
Executive compensation,Compensation Committee Independence
Executive compensation,Compensation Committee Mgt Independence
Executive compensation,Fringe benefits 
Executive compensation,Nonmonetary compensation and other additional compensation
Executive compensation,Company pension benefits
Executive compensation,performance factors 
Executive compensation,Amount of total compensation 
Executive compensation,Withholding and clawback clause 
Executive compensation,Total compensation of former members of the Board of Executive Directors and their surviving dependents 
Executive compensation,"Retirement and surviving dependents’ pensions, "
Executive compensation,Income from the fair value measurement of option rights 
Executive compensation,Pension benefits 
Executive compensation,CEO remuneration
Executive compensation,Compensation Committee NonExecutive Members
Executive compensation,Executive Compensation Policy
Executive compensation,Executive Compensation LT Objectives
Executive compensation,Executive Compensation Controversies
Executive compensation,Sustainability Compensation Incentives
Executive compensation,Policy Executive Compensation Performance
Executive compensation,Policy Executive Compensation ESG Performance
Executive compensation,Policy Executive Retention
Executive compensation,Compensation Board Committee
Executive compensation,Compensation Improvement Tools
Executive compensation,CEO Compensation Link to TSR
Executive compensation,Board Member LT Compensation Incentives
Executive compensation,Total Senior Executives Compensation
Executive compensation,Shareholders Approval Stock Compensation Plan
Executive compensation,Mgt Compensation Controversies Count
Executive compensation,Recent Mgt Compensation Controversies
SHARE CAPITAL,Fair & Transparent  Remuneration
SHARE CAPITAL,share capital
